TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD,활동소비내역중복여부,숙박소비내역중복여부
e_e002784,콘서트예매,1,1,2298137000,예스24,서울 영등포구 은행로 11,서울 영등포구 여의도동 15-15,3118025,1156011000,6/9/23 2:48,3,157000,관람권,,0,0
e_e002793,아쿠아필드 고양 입장권,1,1,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,6/13/23 0:25,1,19000,아쿠아필드 고양 찜질스파,,0,0
e_e002915,먹거리,1,2,2208160348,홈플러스,서울 강동구 양재대로 1571,서울 강동구 천호동 42,2000006,1174010900,6/18/23 12:17,1,72780,국산콩두부찌개용;구이용_모둠버섯(팩);농심무파마탕면;햇반흑미밥;코카콜라제로,,0,0
e_e002923,식사 재료,1,3,2068650913,이마트,경기 하남시 덕풍서로 70,경기 하남시 덕풍동 736,3202019,4145010800,6/24/23 10:51,1,41350,재사용종량제봉투;페로니캔;삿포로캔;아사히 슈퍼드라이;(A)파머스픽 새송이,,0,0
e_e002923,식사 재료,2,3,2068650913,이마트,경기 하남시 덕풍서로 70,경기 하남시 덕풍동 736,3202019,4145010800,6/24/23 10:36,1,57660,농심 자갈치;농심닭다리너겟;농심 포스틱;(A)파머스픽 아삭이;CJ허브솔트,,0,0
e_e002923,식사 재료,3,3,1208800767,쿠팡(주),서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,6/21/23 10:06,1,47880,고메 호주산 프리미엄 숄더랙 구이용 (냉동),,0,0
e_e002928,돼지고기;수박;참외,0,1,,코스트코코리아,일직로40,,,,,1,178740,,4121010600,0,0
e_e002935,숙소에서 먹을 재료들 구매(장보기),1,6,6791401461,용가리마트 수원점,경기 수원시 권선구 여기산로 2,경기 수원시 권선구 서둔동 243-6,3175036,4111313100,6/17/23 10:09,1,94600,진로이즈백;아이키커/사과;별빛청하스파클링;홈런볼4번들;농심고구마깡,,0,0
e_e002939,음료,0,1,,스타벅스세류점,세류동 325-1,,,,,1,10800,,4111312600,0,0
e_e002972,도킹형 보조배터리,1,1,8158101244,11번가,서울 중구 한강대로 416,,2005005,1114011800,6/20/23 22:12,1,26300,액티몬 PD 20W 고속 미니 보조배터리 C타입;배송비,,0,0
e_e002984,휴지,0,2,,Gs슈퍼마켓,경기 포천시 중앙로 165,,,,,1,700,,4165010100,0,0
e_e003000,인천시티투어 레트로투어 이용권,1,1,,인천시티투어,인천 연수구 인천타워대로 234,인천 연수구 송도동 24-7,2152003,2818510600,6/20/23 22:49,1,2500,버스표 ,,0,0
e_e003002,아이스 넥쿨러,1,1,2508601952,주식회사 라온브라더스,충북 청주시 흥덕구 강내면 서부로 180-67,충북 청주시 흥덕구 강내면 태성리 220-1,3014066,4311331027,7/6/23 17:51,1,16600,고양이 쿨링 아이스 넥쿨러,,0,0
e_e003020,공연티켓,0,2,,(주)인터파크트리플,서울시 강남구 삼성로 512 삼성동빌딩 10층,,,,,4,335200,,1168010500,0,0
e_e003023,저녁식사 준비(햇반 소시지 등),1,4,2618123567,마켓컬리,서울 강남구 테헤란로 133,,3122010,1168010100,7/6/23 22:52,1,91200,,,0,0
